sample_id	total_sample_abundance	richness_observed	richness_rare	richness_srs	evenness	shannon_div	faith_phylo_div	pco1_identity_58	pco2_identity_p28	pco1_phylogeny_47	pco2_phylogeny_36
m36	97295	11	6	8	0.763873397809313	1.58843007598881	0.377899587662883	0.0667409731601092	0.043147728804592	-0.0539570128597145	-0.0149176338627738
s138530	64790	7	6	7	0.901379813743963	1.75400412771797	0.366673588832953	0.045868768084988	-0.0472205452555025	0.0139407811496691	-0.0508406838318189
s39314	13186	6	6	6	0.822975005935675	1.47457325982326	0.195715134396884	0.0587574022861163	-0.0404124643109249	-0.0444124576823091	-0.074300210001151
s39352	9782	6	6	6	0.865872539514443	1.55143532181955	0.364626382324361	0.00472515655292201	-0.0392416540745335	0.00140834738930605	-0.0749047003105112
s401972	28059	7	6	7	0.929906376575379	1.80951425584928	0.226831550761233	0.0556336756595547	-0.0167676894511746	-0.049624207577589	-0.0324255539072063
s402112	30475	6	6	6	0.944193676832983	1.69176796125075	0.324428630051233	0.0650850838178201	-0.0234653598239775	0.0189042982268087	0.050686651876132
m27	41840	9	7	9	0.818301810422341	1.79799284953869	0.333972240091681	0.160126795373715	-0.0831968554784137	0.00369743354930016	0.0658905456939385
m35	33429	9	7	8	0.906725173821448	1.88548199333119	0.269627210508844	0.0366921721192047	-0.0547149667680602	0.0520440604299565	-0.0450989491694792
m9	9912	7	7	7	0.761407568011359	1.48163071416083	0.183618565409184	0.097901833175108	0.00138457007662721	-0.110214121213643	0.0441390145329454
s39326	64839	10	7	7	0.715038279456614	1.39140024495767	0.35398593738551	-0.128623173493853	-0.0380737246647754	0.0548245543295983	-0.0323179576870282
s401618	11430	7	7	7	0.764214215023483	1.48709219706654	0.324035848806427	0.00856745624123852	0.132356662341173	0.166640869083906	0.101922274881663
s401632	17459	7	7	7	0.812776388230074	1.58158982276942	0.406582868172485	-0.0200940693466261	0.0340837217778725	0.0718789255072024	0.100899922896758
s9466	7082	7	7	7	0.889602084699944	1.73108572523839	0.337857670731425	0.0581568403537899	0.0361807009996184	0.0697479123182781	0.145489586857324
m8	74159	11	8	10	0.869421138845373	2.00191615383926	0.480870407616351	0.0703415408718269	0.180142456038827	-0.00537600485199558	-0.00487318744913635
s12903	244652	10	8	10	0.712437476567001	1.64044791323347	0.226682539837737	-0.250442752226274	0.195926488026328	-0.150459511745568	0.0445175952151646
s401612	37013	10	8	10	0.545480909647881	1.25601621106804	0.352298897281462	0.00861763156929301	0.0940894580484768	-0.179729440460847	-0.0279200887180529
s402116	10939	8	8	8	0.891007567656852	1.85279815013676	0.352404368693982	0.105589649136646	-0.039866072372378	0.0263619219398936	-0.0627384969750869
s62152	60397	11	8	9	0.791510055093116	1.73912534625934	0.290697344418435	0.163111968071112	0.0847162227341019	-0.213893203485992	-0.0261948815338361
m21	36825	10	9	10	0.818362867769837	1.88435013998669	0.316698713653739	-0.0321489935832456	0.0144429484573917	-0.0424393622564601	-0.150012653473809
m46	7511	9	9	9	0.699338680917768	1.53660413759441	0.328854148744958	0.0977133924794045	0.0859190132949454	-0.0151924315276243	-0.0833705189960988
s401622	26314	10	9	10	0.834645729150088	1.92184281387214	0.329067157777936	0.110037634402903	-0.0455235823664798	-0.138611404366817	0.0137615300686254
s402124	16674	9	9	9	0.721469976603793	1.58523156440404	0.436808535287487	-0.160742360500389	-0.0224055335072699	0.124068485934649	0.0567170571718561
s402150	16201	9	9	9	0.700298648442251	1.53871340183265	0.448628341132883	-0.0078314239112666	-0.139410767338766	0.139797712502258	-0.00234876836930647
s7857	265409	14	9	12	0.943994175419805	2.34573740386181	0.474293253130879	0.0137065862990778	0.0365003490635611	0.011012421596242	0.0690761255736554
s7863	27267	9	9	9	0.732897916430374	1.61034131465932	0.386667529262132	0.0119527793171591	0.0185031094568766	0.0534489066126185	0.053357161714766
m41	701755	28	10	10	0.876601101144413	2.01844862799729	0.490471356712288	0.10288099239073	-0.341687696561225	0.144527197892243	-0.29662102249658
m7	138584	17	10	11	0.889653210506108	2.13329522790249	0.315010510482721	0.0582797459601845	0.141496394919572	-0.124399391058786	-0.10916224000271
s12438	273716	13	10	12	0.834809514281454	2.07442371334428	0.397881392889878	0.102791452860846	0.0202465107798444	-0.0857494418117324	0.117315684017987
s15965	104952	12	10	12	0.904227229978008	2.24692025669173	0.466182962184674	0.0176573177774965	-0.152425326350731	0.00548662444297209	-0.0250864130758914
s15981	18655	10	10	10	0.866496701327878	1.99518238760609	0.406239184280152	0.0162501369549616	0.0617394586276692	0.0745500699611268	0.147897901497079
s15987	82880	14	10	11	0.860717705265173	2.06391091666922	0.387948701783583	-0.166262049158785	0.106398402722234	0.0534695123868761	-0.208942705587315
s62120	14761	10	10	10	0.884301791604961	2.03618012305751	0.493743825046558	-0.0129167675639989	0.0820403196572519	0.0779147611669362	-0.015538242765553
m40	533420	26	11	16	0.94301380221855	2.61458943294761	0.501071777215081	-0.0771713511294331	0.116005587637548	-0.0446986800473832	0.0405589048352643
s401616	11773	11	11	11	0.757201948143382	1.81569097200673	0.550925666542321	-0.0609095350818906	-0.0169434434497979	0.139880294792294	0.114090188142001
s401646	8143	11	11	11	0.7983802010649	1.91443211002934	0.291084520442685	-0.0519624490784826	0.0531982496448335	-0.171123384202147	-0.0651753338187269
s62158	48531	13	11	13	0.856733889236682	2.19747903871315	0.541189314203474	-0.122726398164588	-0.0811723426968919	0.13830038964726	0.00528303195077042
m45	36856	13	12	13	0.852280923654486	2.1860574075043	0.502251046183957	0.12255232369683	0.00937523348209896	0.00707454372465739	-0.0830678040099921
s401620	12462	12	12	12	0.901214004137241	2.2394326717627	0.567190063270567	-0.0367639653870564	0.0255139520512675	0.0607161930988867	-0.00814450751156471
s401652	110723	13	12	12	0.957174291651336	2.37848876233052	0.471830918092023	0.0199147860320185	0.00642000921416215	0.197938197167332	0.0977017074520684
s62166	17074	12	12	12	0.775024036513209	1.92586238207721	0.527284591925312	0.042980531611645	0.0280220976412266	0.164030545614844	0.110920685578908
m25	424419	26	13	16	0.798417790612282	2.21368416188721	0.446307889635912	0.0214541569140921	-0.199693526928229	-0.175669056673979	-0.127400009866032
m4	23933	14	13	14	0.911592079720144	2.40574375960466	0.499180867421283	0.00591611239217604	-0.103013824760035	0.0292348772424229	-0.0516513915900167
s16001	128771	20	13	16	0.847560868820711	2.34993770630405	0.458570829064527	-0.205565210880141	0.206092612269456	-0.120871535068714	-0.134367300848456
s401614	11392	13	13	13	0.862857717274728	2.21318634750454	0.526230461470008	-0.0562712618767215	0.107147646409475	0.128594340115829	0.0463139224467496
s401660	101557	20	15	17	0.80474295050359	2.28000846590194	0.569037818263483	-0.273020247595564	-0.03011067321762	0.111109765291969	-0.0818690114959465
s62160	41673	18	15	16	0.632648251644511	1.75407340765429	0.559533809458049	-0.134497038367151	-0.321043295743441	0.193480183448007	-0.173003210474847
s62162	66613	16	15	16	0.768884574827739	2.13180070087152	0.542073057633834	-0.0516228963851218	-0.0615493402892808	0.121510652317291	-0.112045481680547
s62164	16676	16	15	15	0.872004528913226	2.3614320398855	0.469529785042911	0.0520863419598922	0.0624450868404841	0.182816170023765	0.0350236039661318
m5	275318	24	16	19	0.821625062576971	2.4192248605117	0.647235665132637	-0.204780481866813	0.179379318626914	-0.0192731996010169	-0.243494874855469
m3	46340	20	17	20	0.748244758535977	2.24154097166384	0.649376770492253	-0.127305291915341	-0.118501316932121	0.0149561737108828	-0.212746717509666
m32	160943	25	17	20	0.842128757138288	2.52279229624708	0.515447688428068	-0.168923832655469	0.101112486785394	-0.00363594885394312	-0.317580979926152
m34	150357	29	17	21	0.785709993675962	2.39211170529	0.442694107272746	0.29986605260425	0.150009743674393	-0.267417245374608	0.0531632310615557
m37	69278	26	17	18	0.87357958904548	2.52496977245159	0.67597772287151	0.155947210592425	0.176081755273827	-0.047547119786492	0.0512874806020175
s62156	36806	21	18	21	0.781784210641783	2.3801595707568	0.640265148530946	-0.102875226525455	-0.263960321291461	0.201989703604112	-0.0166765344343378
s401656	147991	28	20	23	0.89603386707204	2.80950900748101	0.819539666396777	-0.0896818154142544	0.0812131754810867	0.0232042176363956	0.00442698618342847
m1	49775	28	22	26	0.749454448028496	2.44179494252644	0.800583086068959	-0.0533636902537782	0.0494132679916009	-0.0812618847652735	-0.205681514165605
m2	23499	30	27	30	0.854877589320239	2.90760741843765	0.764667277356561	-0.0927716383633071	-0.0299181215121662	0.0958347870908673	-0.056026087697732
s62172	15154	30	29	30	0.823049398162516	2.79935345800896	0.706270147999717	0.0447916314399975	-0.290667369194664	0.162093083631105	0.0248346197926917
s62174	19147	31	29	30	0.89606691719116	3.04770045254465	0.724514979179748	-0.00449983601482233	-0.192914346657979	0.151104544541046	0.0199901852698392
